slug,publicacao,titulo,url,acessado_em,dominio_publico,notas
dailymed-f4ad8613,FDA DailyMed,Daptomicina (FDA DailyMed),https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=f4ad8613-f25e-4b82-9621-cc5ff9525d3e,,true,
dailymed-f6a1a792,FDA DailyMed,Voriconazol (FDA DailyMed),https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=f6a1a792-141b-42e8-8bd1-884e4408eb8a,,true,
dailymed-fa09b4f2,FDA DailyMed,Fenitoína: https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=ef4e97a7-cd18-47a9-a016-2eca5481a87e ; rótulo aprovado Fenobarbital (FDA DailyMed),https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=fa09b4f2-edb0-4594-a2d2-b16f7b9686b4,,true,
dailymed-fbd628db,FDA DailyMed,Nevirapina (FDA DailyMed),https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=fbd628db-4076-4fe0-8323-9cc33ae92e42,,true,
dailymed-fc22e8d8,FDA DailyMed,Atovaquona + Proguanil (FDA DailyMed),https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=fc22e8d8-3bfb-4f70-a599-dd81262a4887,,true,
hc-dpd-pm-00071854,Health Canada,Eltroxin (Health Canada),https://pdf.hres.ca/dpd_pm/00071854.PDF,,true,
fonte-1f54a701,Outra,EPAR Eurartesim (Outra),https://www.ema.europa.eu/en/medicines/human/EPAR/eurartesim,,false,
emc-uk-product-1040,EMC-UK (MHRA),Carbamazepina (EMC-UK (MHRA)),https://www.medicines.org.uk/emc/product/1040/smpc,,true,
emc-uk-product-12781,EMC-UK (MHRA),Levotiroxina (EMC-UK (MHRA)),https://www.medicines.org.uk/emc/product/12781/smpc,,true,
emc-uk-product-13672,EMC-UK (MHRA),Atorvastatina (EMC-UK (MHRA)),https://www.medicines.org.uk/emc/product/13672/smpc,,true,
emc-uk-product-2803,EMC-UK (MHRA),Varfarina (EMC-UK (MHRA)),https://www.medicines.org.uk/emc/product/2803/smpc,,true,
emc-uk-product-987,EMC-UK (MHRA),Metformina (EMC-UK (MHRA)),https://www.medicines.org.uk/emc/product/987/smpc,,true,
fonte-0cb63544,Outra,Directrizes da OMS para a malária (Outra),https://www.who.int/teams/global-malaria-programme/guidelines-for-malaria,,false,
